age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
18 - 24,Doctoral,Student,Vijayawada,Often (weekly),No / I am unsure,Urban tier-2 city,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,2,2,3,2,1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,21,Younger,5,4,4.4,4.2,4,2,5,5,4.2
35 - 44,Doctoral,Employed (private sector),Lucknow,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,3,3,4,3,3,3,3,3,3,5,5,5,5,5,3,3,3,2,2,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,39,Older,5,3,3.4,3,5,2.6,4,3,3.8
45 - 60,Postgraduate,Employed (private sector),Patna,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,52,Older,4,4,3.4,3.8,4,3,4,3,4
25 - 34,Undergraduate (pursuing),Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,5,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,2,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,29,Older,2,2,4.2,3.6,3.8,3,3.4,3,3.4
35 - 44,Postgraduate,Employed (government),Bhubaneswar,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,3,39,Older,4,3,2.8,3,4,4,4,3.4,3.4
45 - 60,Undergraduate (pursuing),Homemaker,Bhopal,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,4,4,4,3,4,2,2,3,3,3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,52,Older,2,3,3.8,2.6,3.8,3.4,3.6,4,3
35 - 44,Doctoral,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,5,5,5,5,4,5,5,5,4,4,3,4,4,2,2,2,2,2,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,39,Older,5,2,5,4.8,3.8,2,4.4,4.2,5
45 - 60,Postgraduate,Homemaker,Madurai,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,3,3,3,3,3,4,3,4,2,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,2,3,4,3,52,Older,4,3,3.2,3.2,4,3,3.4,3.4,3
Above,High school/10+2,Employed (government),Mangalore,Never,"Yes, but inconsistently",Urban tier-2 city,2,2,2,1,2,1,1,1,2,2,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,1,1,2,1,1,2,1,2,1,2,65,Older,1,1,1.8,1.4,2.4,2.4,3,1.2,1.6
35 - 44,Undergraduate (completed),Employed (private sector),Bhopal,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,5,4,5,4,5,4,3,4,4,2,3,4,3,2,3,2,2,2,3,3,39,Older,3,3,3.2,2.8,3,4.6,3.4,3,2.4
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,4,4,5,4,5,5,5,4,3,3,4,4,2,2,2,3,2,4,4,4,4,5,4,5,5,4,5,5,5,5,5,5,29,Older,3,4,4,4.8,3.6,2.2,4.2,4.6,5
35 - 44,Doctoral,Unemployed,Bengaluru,Never,No / I am unsure,Urban metro city,2,3,3,3,3,2,1,1,2,1,2,3,2,2,2,1,3,3,2,2,2,3,3,2,2,1,2,2,1,2,2,1,1,1,2,39,Older,5,1,2.8,1.4,2.2,2.2,2.4,1.6,1.4
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,3,3,3,4,3,3,2,4,4,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,2,2,3,39,Older,3,2,3.6,3,3.6,3,3.4,3.6,2.6
35 - 44,Postgraduate,Homemaker,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,3,3,3,3,3,3,3,3,3,4,5,5,4,4,2,3,2,2,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,39,Older,4,3,3.2,3,4.4,2.6,3.8,3,3.8
18 - 24,Undergraduate (completed),Student,Hubli,Always (daily),"Yes, but inconsistently",Urban tier-2 city,5,5,5,4,5,4,4,3,4,4,4,4,4,4,3,2,2,2,2,2,4,5,5,5,5,4,5,4,4,4,4,4,5,5,4,21,Younger,3,5,4.8,3.8,3.8,2,4.8,4.2,4.4
Above,High school/10+2,Self-employed,Agra,Never,"Yes, regularly",Semi-urban/town,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,65,Older,1,1,2.6,2.2,2.6,2,1.8,2,1.6
