age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
25 - 34,Doctoral,Employed (private sector),Delhi,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,5,4,5,5,4,5,4,4,3,3,4,3,3,5,5,5,5,5,4,3,4,3,4,3,4,3,3,3,2,2,2,2,2,29,Older,5,2,4.4,4.4,3.2,5,3.6,3.2,2
18 - 24,Undergraduate (pursuing),Student,Karnataka,Rarely (a few times a year),No / I am unsure,Urban metro city,5,5,5,5,5,4,3,4,2,2,5,5,4,5,5,3,3,3,3,3,4,4,3,4,4,3,2,3,2,3,3,3,3,3,3,21,Younger,2,2,5,3,4.8,3,3.8,2.6,3
45 - 60,Postgraduate,Self-employed,Bangalore,Often (weekly),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,5,5,1,4,4,4,4,4,4,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,52,Older,4,4,5,3.8,4,2,5,4.2,5
18 - 24,Undergraduate (pursuing),Student,karnataka,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,3,3,3,2,4,5,5,4,5,4,3,3,4,4,4,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,21,Younger,2,3,5,3,4.6,3.6,5,3.6,5
18 - 24,Undergraduate (pursuing),Student,Kozhikode,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,5,4,5,5,4,3,4,3,4,3,3,3,3,3,3,2,3,2,3,2,21,Younger,2,3,3.6,3,3.8,4.6,3.4,3,2.4
35 - 44,Postgraduate,Employed (government),Jaipur,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,5,5,5,5,5,3,3,4,3,3,3,3,3,2,3,2,2,2,2,3,39,Older,4,2,4.2,3.8,3.8,5,3.2,2.8,2.2
35 - 44,Undergraduate (completed),Self-employed,Lucknow,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,3,2,3,2,3,5,5,5,5,5,2,3,2,3,2,4,3,4,3,4,3,3,3,3,3,4,4,5,4,4,39,Older,3,3,3,2.6,5,2.4,3.6,3,4.2
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Never,"Yes, regularly",Urban tier-2 city,3,5,5,5,5,3,5,4,3,4,5,3,3,5,3,5,4,5,5,3,5,5,3,4,3,5,3,3,3,3,3,3,4,3,3,21,Younger,2,1,4.6,3.8,3.8,4.4,4,3.4,3.2
35 - 44,Undergraduate (completed),Homemaker,Chandigarh,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,2,3,2,3,2,2,2,2,2,2,5,5,5,5,5,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,4,4,4,4,4,39,Older,3,2,2.4,2,5,3,3.4,2.8,4
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Often (weekly),"Yes, regularly",Urban tier-2 city,5,5,5,5,5,2,4,3,1,4,5,2,2,5,4,4,3,1,3,1,5,4,5,4,4,4,1,4,4,4,5,5,5,5,5,21,Younger,2,4,5,2.8,3.6,2.4,4.4,3.4,5
18 - 24,Undergraduate (pursuing),Student,"Bengaluru, Karnataka",Rarely (a few times a year),No / I am unsure,Semi-urban/town,5,5,5,5,4,4,3,4,2,2,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,2,4,3,3,4,4,4,21,Younger,2,2,4.8,3,4,3.2,4,3.2,3.6
45 - 60,Postgraduate,Homemaker,Bangalore,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,5,3,5,3,3,5,5,2,5,5,5,5,5,1,1,5,5,3,5,5,5,5,5,3,5,3,3,1,3,1,52,Older,4,5,5,3.8,4.4,3.4,4.6,4.6,2.2
25 - 34,High school/10+2,Self-employed,Kanpur,Rarely (a few times a year),No / I am unsure,Semi-urban/town,2,3,3,3,2,1,2,2,2,1,5,5,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,4,4,4,4,3,29,Older,1,2,2.6,1.6,5,2,3,2,3.8
35 - 44,Doctoral,Unemployed,Banglore,Sometimes (about once a month),"Yes, regularly",Semi-urban/town,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,1,1,1,1,39,Older,5,3,3,3,3,3,3,3,1
18 - 24,Undergraduate (pursuing),Student,Kerala,Often (weekly),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,4,4,3,3,4,4,4,3,3,3,3,4,21,Younger,2,4,3,3,4,3,3.2,3.6,3.2
35 - 44,High school/10+2,Homemaker,Varanasi,Never,No / I am unsure,Rural area,2,2,2,3,2,1,1,1,1,1,5,5,4,5,5,2,2,2,2,2,2,2,2,2,3,1,1,2,1,1,3,3,4,3,3,39,Older,1,1,2.2,1,4.8,2,2.2,1.2,3.2
45 - 60,Undergraduate (completed),Self-employed,Madurai,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,3,3,2,3,5,5,5,5,4,2,2,2,3,2,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,52,Older,3,3,3,2.6,4.8,2.2,3.4,3.2,4
45 - 60,Doctoral,Employed (government),Kolkata,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,1,1,2,1,1,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,52,Older,5,5,5,5,4.2,1.2,5,4.8,4.6
25 - 34,Postgraduate,Student,Ahmedabad,Often (weekly),"Yes, regularly",Urban metro city,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5,29,Older,4,4,4.4,5,4,2,4.8,4.2,4.8
45 - 60,Undergraduate (completed),Self-employed,Bangalore,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,5,5,5,3,2,5,5,4,3,3,3,5,3,1,2,1,5,1,5,5,4,5,5,3,3,3,4,3,4,3,3,3,4,52,Older,3,2,5,3.8,3.4,2,4.8,3.2,3.4
25 - 34,Postgraduate,Student,Hyderabad,Often (weekly),"Yes, regularly",Urban metro city,5,4,5,5,5,5,5,4,5,5,4,5,4,5,4,2,3,2,2,2,5,5,5,4,5,4,4,5,4,4,5,5,5,4,5,29,Older,4,4,4.8,4.8,4.4,2.2,4.8,4.2,4.8
25 - 34,Postgraduate,Employed (private sector),Nagpur,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,5,5,5,5,5,3,3,3,4,3,4,4,4,4,4,2,2,2,2,2,5,5,4,5,5,1,1,1,1,2,3,2,3,3,3,29,Older,4,2,5,3.2,4,2,4.8,1.2,2.8
Under 18,Undergraduate (pursuing),Student,Anantapur,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,5,5,5,5,5,3,4,4,2,1,5,5,5,5,5,4,4,4,4,2,5,5,5,5,5,4,4,4,4,2,4,5,5,5,5,16,Younger,2,3,5,2.8,5,3.6,5,3.6,4.8
45 - 60,Undergraduate (completed),Homemaker,Delhi,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,2,3,2,2,2,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,2,2,3,2,3,3,3,3,3,3,52,Older,3,3,3.8,2.2,3.8,3.6,3.8,2.4,3
35 - 44,Postgraduate,Employed (government),Patna,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,3,3,4,3,3,4,4,4,3,4,3,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,4,3,4,3,39,Older,4,3,4,3.2,3.8,3.4,3.8,3,3.4
Under 18,Undergraduate (pursuing),Self-employed,NA,Often (weekly),No / I am unsure,Rural area,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,16,Younger,2,4,1,2,3,4,5,1,5
35 - 44,Undergraduate (completed),Employed (private sector),Mumbai,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,3,4,3,4,3,4,3,39,Older,3,3,3.8,3.4,3.4,3,3.8,3.4,3.4
18 - 24,High school/10+2,Unemployed,Thrissur,Rarely (a few times a year),"Yes, but inconsistently",Semi-urban/town,3,3,3,3,3,2,2,3,2,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,2,21,Younger,1,2,3,2.2,3.6,3,3,2.4,2.6
35 - 44,High school/10+2,Self-employed,Aligarh,Never,No / I am unsure,Rural area,4,4,4,4,4,1,1,2,1,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,2,1,2,2,1,39,Older,1,1,4,1.2,3,2,3,1,1.6
18 - 24,Undergraduate (pursuing),Student,Karnataka,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,3,4,5,4,5,5,4,5,4,5,5,5,5,5,3,5,5,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,Younger,2,2,4.2,4.6,4.6,4,5,5,5
18 - 24,Undergraduate (pursuing),Student,Bangalore,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,5,5,5,5,4,4,4,3,4,1,2,1,1,2,3,3,3,4,3,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,21,Younger,2,3,4.8,3.8,1.4,3.2,5,3,4
35 - 44,High school/10+2,Homemaker,Mysuru District,Never,No / I am unsure,Rural area,2,3,2,3,2,1,1,1,1,1,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,39,Older,1,1,2.4,1,2.2,1.6,2,1,1.2
45 - 60,High school/10+2,Self-employed,Jodhpur,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,1,2,2,1,5,5,4,5,4,2,2,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,52,Older,1,2,3,1.6,4.6,2.2,3,2.2,3
25 - 34,Postgraduate,Employed (government),Salem,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,2,2,3,2,4,4,4,4,4,2,3,3,2,3,4,3,4,4,3,29,Older,4,3,4,3.4,4,2.2,4,2.6,3.6
Under 18,Other,Student,Banglore,Never,"Yes, regularly",Urban metro city,3,3,2,4,5,2,4,3,1,3,2,5,5,3,3,5,5,5,5,3,5,5,5,5,5,4,2,4,2,4,5,5,3,5,4,16,Younger,NA,1,3.4,2.6,3.6,4.6,5,3.2,4.4
25 - 34,Undergraduate (completed),Employed (private sector),Hubli,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,3,4,4,3,2,3,2,2,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,2,3,3,4,3,4,4,29,Older,3,3,3.8,2.4,4,3,4,2.8,3.6
Above,Undergraduate (completed),Homemaker,Ahmedabad,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,3,2,3,3,2,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,2,2,3,2,3,3,3,3,3,65,Older,3,3,4,2.6,4,3.6,4,2.4,3
18 - 24,Undergraduate (pursuing),Student,Karnataka Bangalore,Often (weekly),No / I am unsure,Urban metro city,5,5,5,5,4,5,3,5,2,3,5,5,5,5,5,5,3,4,5,3,5,5,5,4,3,4,4,3,2,2,4,3,3,4,5,21,Younger,2,4,4.8,3.6,5,4,4.4,3,3.8
18 - 24,High school/10+2,Student,Haryana,Never,No / I am unsure,Urban metro city,5,5,5,5,5,4,5,4,2,2,3,4,4,5,5,1,2,2,2,2,5,5,5,5,5,3,2,4,2,2,3,4,5,2,5,21,Younger,1,1,5,3.4,4.2,1.8,5,2.6,3.8
18 - 24,Undergraduate (pursuing),Student,Bhubaneswar,Always (daily),"Yes, but inconsistently",Urban tier-2 city,5,5,5,5,5,5,4,5,2,3,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,3,5,3,3,4,3,3,3,5,21,Younger,2,5,5,3.8,4.4,4.6,5,3.8,3.6
18 - 24,Undergraduate (completed),Employed (private sector),Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,4,5,5,3,3,5,3,3,5,5,4,5,5,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,21,Younger,3,5,4.4,3.4,4.8,3,3.8,4,3.4
45 - 60,Postgraduate,Employed (government),Bhopal,Often (weekly),"Yes, regularly",Urban metro city,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,52,Older,4,4,4.2,4,4,2.6,4.2,4,4
18 - 24,Undergraduate (pursuing),Student,Delhi,Often (weekly),"Yes, regularly",Urban metro city,4,5,4,5,5,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,21,Younger,2,4,4.6,3.8,4,2,4.8,4.2,4.8
35 - 44,Postgraduate,Employed (private sector),Chennai,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39,Older,4,4,4,4,4.2,2.2,4,4,4
35 - 44,Doctoral,Employed (government),Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,39,Older,5,5,5,5,5,1,5,5,5
25 - 34,Doctoral,Student,Delhi,Sometimes (about once a month),"Yes, regularly",Urban metro city,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,3,3,4,3,3,29,Older,5,3,5,5,3.2,5,4.2,4,3.2
25 - 34,Undergraduate (completed),Employed (private sector),Pune,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,1,2,1,2,1,2,2,3,2,2,5,5,5,5,5,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,29,Older,3,2,1.4,2.2,5,2,2.8,3,4
18 - 24,Undergraduate (pursuing),Student,Mumbai,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,3,3,3,3,3,3,2,3,2,3,21,Younger,2,3,5,4,4,5,4.2,3,2.6
18 - 24,Undergraduate (pursuing),Student,Lucknow,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,4,5,4,4,5,3,4,3,3,4,4,4,4,4,4,2,2,2,2,2,5,5,5,5,5,1,1,1,1,1,3,2,3,2,3,21,Younger,2,2,4.4,3.4,4,2,5,1,2.6
35 - 44,Undergraduate (completed),Self-employed,Coimbatore,Never,"Yes, but inconsistently",Urban tier-2 city,2,2,3,2,2,5,5,5,4,5,3,3,3,3,3,4,4,4,4,4,2,1,2,2,2,3,3,2,3,3,2,2,2,2,2,39,Older,3,1,2.2,4.8,3,4,1.8,2.8,2
35 - 44,Undergraduate (completed),Employed (government),Jaipur,Always (daily),"Yes, regularly",Urban metro city,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,39,Older,3,5,4,3.2,3,2,4,5,4.8
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,21,Younger,2,5,5,4.2,4.8,3,4,4,5
35 - 44,Doctoral,Employed (private sector),Mysore,Always (daily),"Yes, regularly",Urban metro city,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,39,Older,5,5,4.2,4,3.8,3.2,4.8,5,4
18 - 24,Undergraduate (pursuing),Student,Trichy,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,3,21,Younger,2,3,3.4,3,3.6,3.2,3.6,3,3.4
25 - 34,Postgraduate,Employed (private sector),Pune,Always (daily),"Yes, regularly",Urban metro city,5,5,5,5,5,5,4,5,4,5,4,4,5,4,4,1,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,29,Older,4,5,5,4.6,4.2,1.4,5,5,5
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,5,4,5,3,4,5,3,4,4,4,4,4,4,3,3,3,3,2,4,4,4,4,3,5,5,5,5,4,4,4,4,4,4,29,Older,3,5,4.4,3.8,4,2.8,3.8,4.8,4
Under 18,High school/10+2,Student,Banglore,Sometimes (about once a month),No / I am unsure,Urban metro city,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,16,Younger,1,3,3,3,3,3,3,3,3
Under 18,High school/10+2,Student,Banglore,Sometimes (about once a month),No / I am unsure,Urban metro city,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,16,Younger,1,3,3,3,3,3,3,3,3
Under 18,High school/10+2,Student,Banglore,Sometimes (about once a month),No / I am unsure,Urban metro city,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,16,Younger,1,3,3,3,3,3,3,3,3
18 - 24,Undergraduate (pursuing),Student,Patna,Never,No / I am unsure,Urban tier-2 city,2,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,21,Younger,2,1,1.6,1.2,2,2,1.6,1.4,1.2
45 - 60,Undergraduate (completed),Homemaker,Palakkad,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,3,4,4,3,3,2,3,2,3,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,3,3,3,2,3,4,3,4,3,4,52,Older,3,3,3.6,2.6,5,3.2,4,2.8,3.6
Above,Undergraduate (completed),Homemaker,Amritsar,Never,"Yes, but inconsistently",Urban tier-2 city,3,2,2,3,2,1,2,2,3,2,4,4,5,5,5,3,3,3,3,2,3,3,3,3,4,4,3,3,3,2,2,3,3,3,3,65,Older,3,1,2.4,2,4.6,2.8,3.2,3,2.8
25 - 34,Postgraduate,Student,Hubli,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,4,5,4,5,4,5,5,5,5,5,4,4,3,4,4,2,2,2,2,2,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,29,Older,4,4,4.4,5,3.8,2,5,4.2,4
25 - 34,Undergraduate (completed),Employed (government),Vijayawada,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,3,4,3,3,3,29,Older,3,3,3.6,4,3.8,3,3,4,3.2
35 - 44,Doctoral,Employed (private sector),Madurai,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,3,3,3,4,3,4,5,4,5,4,2,2,2,2,3,4,4,3,4,4,3,3,3,3,3,4,5,5,4,4,39,Older,5,2,4,3.2,4.4,2.2,3.8,3,4.4
45 - 60,Undergraduate (completed),Student,Hubli,Never,"Yes, regularly",Urban tier-2 city,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,3,4,3,3,3,52,Older,3,1,3.6,3,4,3,3.2,4.2,3.2
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,5,4,3,3,4,4,4,4,4,3,3,3,3,2,4,4,4,4,4,4,2,2,4,3,3,3,3,4,3,29,Older,3,2,4,3.6,4,2.8,4,3,3.2
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,3,3,4,3,4,4,3,4,3,2,2,3,2,2,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,39,Older,3,3,4,3.2,3.6,2.2,3.8,3.6,3
45 - 60,Postgraduate,Employed (government),Bhopal,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,3,2,3,3,3,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,52,Older,4,2,2.8,2,4,3.8,3,2.8,3
18 - 24,Undergraduate (pursuing),Self-employed,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,5,4,5,5,5,5,4,3,4,3,3,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,21,Younger,2,4,4.2,4.8,3.4,2,5,5,4.2
25 - 34,Postgraduate,Employed (private sector),Delhi,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,5,5,5,5,3,4,3,3,4,2,2,3,2,2,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,29,Older,4,3,4,5,3.4,2.2,4,4.4,4.2
25 - 34,Postgraduate,Student,Indore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,3,3,3,3,3,2,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,29,Older,4,3,3.8,2.8,3.6,3,3.8,3.2,4
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,3,3,3,4,3,3,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,39,Older,3,3,3,3.2,5,3,4,3.8,4
18 - 24,High school/10+2,Homemaker,Bangalore,Rarely (a few times a year),"Yes, regularly",Urban metro city,3,3,4,4,3,3,2,3,3,3,5,5,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,5,4,3,3,21,Younger,1,2,3.4,2.8,4.4,3.2,2.8,3,3.6
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,4,5,5,4,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,39,Older,3,2,3.2,3,3.2,4.6,3,2.6,2.6
25 - 34,Doctoral,Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,2,2,2,2,2,4,4,4,3,4,3,3,3,3,3,4,3,4,3,3,29,Older,5,5,4,3.8,4.2,2,3.8,3,3.4
25 - 34,Undergraduate (completed),Student,Bengaluru,Always (daily),No / I am unsure,Urban metro city,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,1,2,2,2,2,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,29,Older,3,5,4.6,4.2,4,1.8,4.6,4,4.6
45 - 60,High school/10+2,Homemaker,Salem,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,2,2,3,3,3,1,2,2,2,2,2,2,3,3,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,52,Older,1,2,2.6,1.8,2.4,1.8,1.6,1.2,1.8
18 - 24,Postgraduate,Homemaker,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,3,3,4,3,3,3,3,4,5,5,5,4,5,2,3,3,3,2,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,21,Younger,4,4,3.2,3.2,4.8,2.6,3.8,4.2,3.8
45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,5,4,4,4,3,4,3,3,3,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,2,2,3,3,5,5,4,5,4,52,Older,4,2,4,3.4,3.4,2.8,3.6,2.6,4.6
25 - 34,Doctoral,Self-employed,Bengaluru,Never,"Yes, but inconsistently",Urban metro city,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4,29,Older,5,1,3.8,3.4,3.8,3,3.4,3.2,3.8
25 - 34,Undergraduate (completed),Employed (private sector),Kolkata,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,5,5,4,5,5,4,4,4,4,3,2,2,2,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,29,Older,3,3,4,4.8,3.8,2,5,4.6,5
35 - 44,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,4,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,39,Older,3,3,3.2,3,5,2,3.8,3.6,3.6
45 - 60,Postgraduate,Employed (private sector),Bengaluru,Often (weekly),No / I am unsure,Urban metro city,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,2,3,2,4,4,3,3,5,3,4,3,2,2,4,4,4,4,4,52,Older,4,4,3.2,3,4,2.6,3.8,2.8,4
35 - 44,Undergraduate (completed),Student,Vadodara,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,3,3,3,3,3,3,2,2,4,4,4,3,4,3,3,3,3,3,4,4,5,4,4,3,4,2,3,3,3,4,4,4,3,39,Older,3,2,3.4,2.6,3.8,3,4.2,3,3.6
18 - 24,Undergraduate (completed),Student,Rajkot,Always (daily),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,21,Younger,3,5,4,4,4,1.4,4.4,4.2,4
18 - 24,Undergraduate (completed),Student,Hubli,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,5,4,3,3,3,2,2,2,2,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,21,Younger,3,3,3.8,2.2,4,3.8,3,2.8,3.2
25 - 34,Doctoral,Student,Guwahati,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,4,3,4,4,5,5,5,5,4,4,4,4,3,2,1,1,1,2,5,4,4,5,5,5,4,5,4,5,5,5,5,5,4,29,Older,5,3,3.8,4.8,3.8,1.4,4.6,4.6,4.8
Above,Doctoral,Employed (private sector),Mangalore,Always (daily),"Yes, but inconsistently",Semi-urban/town,3,4,3,3,3,3,3,2,3,3,4,5,4,4,4,4,4,3,4,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,65,Older,5,5,3.2,2.8,4.2,3.8,2.8,3,2.8
